,BL,NY,OM,LL,Ab,JA,IE,SF,BA,ER,CO,CR,DI,NE,LE,CU,SJ,1B,LR,IL,EH,RO,EE,MH,FO,TG,KE,SA,MG,10,BT,EL,BW,BY,RA,GA,AB,AP,NB,LB,UK,LA,OD,RE
10,0.0,173406.0,20161.0,3667.0,0.0,4724.0,0.0,3619.0,34454.0,23893.0,1955.0,55625.0,170084.0,40232.0,36227.0,0.0,4587.0,7067.0,0.0,0.0,9719.0,3169.0,13852.0,26194.0,0.0,0.0,0.0,15360.0,53076.0,0.0,60967.0,52044.0,40272.0,54072.0,15040.0,85077.0,10413.0,9961.0,19223.0,0.0,28278.0,94004.0,977.0,15695.0
11,0.0,176130.0,23586.0,26951.0,0.0,4927.0,0.0,2743.0,26895.0,18129.0,1974.0,48661.0,180638.0,38866.0,38740.0,0.0,3912.0,12907.0,0.0,0.0,8944.0,3402.0,12708.0,31050.0,0.0,0.0,0.0,19031.0,39508.0,0.0,63169.0,54386.0,38473.0,51999.0,12113.0,64078.0,8901.0,11205.0,18187.0,0.0,35964.0,82450.0,829.0,12167.0
12,0.0,165393.0,25346.0,47523.0,0.0,6144.0,0.0,2096.0,29703.0,15919.0,1895.0,55589.0,199784.0,38926.0,36482.0,0.0,3595.0,14979.0,0.0,0.0,8599.0,3706.0,17603.0,33194.0,0.0,0.0,0.0,19172.0,35609.0,0.0,66970.0,53486.0,37574.0,55029.0,11601.0,56884.0,8911.0,10958.0,18743.0,0.0,35650.0,77269.0,742.0,16457.0
13,0.0,144141.0,22977.0,45928.0,0.0,7050.0,0.0,2995.0,23015.0,12965.0,1495.0,52249.0,189122.0,38759.0,31634.0,0.0,2995.0,13982.0,0.0,0.0,5360.0,2869.0,14089.0,23779.0,0.0,0.0,0.0,15298.0,29212.0,0.0,60336.0,45892.0,35510.0,51797.0,11095.0,47843.0,5699.0,10845.0,18999.0,0.0,25867.0,70497.0,640.0,13544.0
14,0.0,162679.0,33414.0,89619.0,0.0,8418.0,1459.0,3637.0,32072.0,17528.0,1496.0,65757.0,218227.0,50559.0,36261.0,0.0,3521.0,12953.0,0.0,0.0,11960.0,4433.0,18503.0,30403.0,0.0,0.0,0.0,15266.0,25283.0,0.0,72250.0,60465.0,38965.0,56219.0,8355.0,53213.0,6508.0,12390.0,21629.0,0.0,29235.0,84364.0,22.0,16962.0
15,0.0,199266.0,34503.0,102707.0,0.0,9834.0,5748.0,3414.0,38751.0,25572.0,1274.0,78183.0,216188.0,52547.0,31543.0,0.0,3306.0,13110.0,0.0,0.0,11839.0,4184.0,17603.0,38032.0,0.0,0.0,0.0,17686.0,35746.0,0.0,74376.0,58786.0,37589.0,63071.0,16336.0,55200.0,5691.0,11553.0,20204.0,0.0,31899.0,97219.0,0.0,17856.0
16,0.0,137848.0,31944.0,93588.0,0.0,8853.0,3240.0,3075.0,36349.0,28371.0,821.0,72331.0,220391.0,52904.0,29306.0,0.0,2988.0,12618.0,0.0,0.0,11239.0,3849.0,16256.0,41106.0,0.0,0.0,0.0,17367.0,37430.0,0.0,73849.0,48802.0,37685.0,59708.0,17274.0,53195.0,7551.0,11745.0,15201.0,0.0,33065.0,89944.0,0.0,15134.0
17,0.0,133545.0,25284.0,77881.0,0.0,9582.0,3154.0,2825.0,34183.0,30027.0,657.0,66669.0,199653.0,51672.0,31035.0,0.0,2570.0,12112.0,0.0,0.0,9479.0,2939.0,12331.0,37105.0,0.0,0.0,0.0,14158.0,33821.0,0.0,61493.0,40431.0,36710.0,48954.0,17804.0,48075.0,6585.0,10095.0,13850.0,0.0,30935.0,77664.0,0.0,19136.0
18,0.0,120211.0,24016.0,76046.0,0.0,9364.0,3022.0,3400.0,37019.0,32577.0,511.0,67216.0,185998.0,48946.0,28872.0,0.0,2639.0,10729.0,0.0,0.0,11833.0,2640.0,11531.0,44718.0,0.0,0.0,0.0,16155.0,33199.0,0.0,62563.0,44195.0,38995.0,40409.0,20382.0,45062.0,5983.0,11584.0,14447.0,0.0,28929.0,79289.0,0.0,18357.0
19,0.0,109198.0,27515.0,82949.0,0.0,6989.0,2469.0,2939.0,37399.0,31058.0,1073.0,71946.0,176337.0,37935.0,33193.0,2243.0,3008.0,7317.0,0.0,0.0,10999.0,1746.0,16360.0,40923.0,0.0,0.0,0.0,15207.0,39911.0,0.0,59050.0,43058.0,34368.0,43566.0,17265.0,45931.0,7067.0,11149.0,16605.0,0.0,28540.0,71659.0,0.0,16569.0
20,0.0,173665.0,37435.0,78594.0,0.0,9388.0,2653.0,3241.0,42050.0,34410.0,895.0,89272.0,172642.0,48152.0,40061.0,32516.0,3684.0,19585.0,0.0,0.0,15172.0,948.0,15981.0,45079.0,0.0,0.0,0.0,19047.0,44276.0,0.0,75102.0,49142.0,42051.0,51473.0,18995.0,52330.0,11518.0,13237.0,18898.0,0.0,33360.0,78606.0,0.0,20806.0
21,0.0,197951.0,42566.0,63909.0,0.0,8997.0,5315.0,3940.0,47859.0,34338.0,1667.0,116750.0,182139.0,67931.0,43381.0,38529.0,3805.0,30710.0,0.0,0.0,18038.0,1350.0,15930.0,49644.0,0.0,0.0,0.0,19750.0,45186.0,0.0,74518.0,55843.0,49356.0,47088.0,24334.0,55839.0,12884.0,15307.0,17849.0,0.0,38099.0,87969.0,0.0,25733.0
22,0.0,171608.0,36479.0,63147.0,0.0,9280.0,5256.0,3778.0,44357.0,25567.0,2100.0,109016.0,166262.0,57855.0,37316.0,34133.0,3534.0,26719.0,0.0,0.0,15731.0,1838.0,14220.0,47999.0,0.0,0.0,0.0,17615.0,42486.0,0.0,67798.0,43639.0,46869.0,35812.0,28608.0,44342.0,10998.0,11596.0,17236.0,0.0,40735.0,90180.0,0.0,20016.0
23,950.0,154581.0,38973.0,67401.0,0.0,8021.0,5397.0,3100.0,39788.0,21984.0,2857.0,101761.0,182712.0,49821.0,34002.0,33752.0,4143.0,23839.0,0.0,0.0,14928.0,3452.0,21323.0,57893.0,0.0,0.0,0.0,23665.0,37649.0,0.0,75029.0,51816.0,39573.0,41404.0,28443.0,43169.0,12183.0,11249.0,15814.0,0.0,42590.0,97649.0,0.0,19956.0
24,1362.0,189173.0,46030.0,62825.0,0.0,7879.0,7241.0,1793.0,40412.0,30988.0,3149.0,101561.0,230266.0,47292.0,33784.0,31331.0,4223.0,24094.0,0.0,0.0,13933.0,3339.0,20698.0,52283.0,0.0,0.0,0.0,22909.0,39971.0,849.0,83612.0,49427.0,40563.0,46720.0,28603.0,41471.0,10810.0,9528.0,17371.0,0.0,94870.0,90122.0,0.0,19737.0
25,1432.0,150074.0,39702.0,65434.0,556.0,9530.0,7399.0,1035.0,34379.0,28863.0,2763.0,95877.0,250689.0,38211.0,31763.0,27532.0,3626.0,21391.0,0.0,0.0,11518.0,2787.0,18195.0,39723.0,0.0,0.0,0.0,20142.0,34707.0,1399.0,92091.0,51464.0,78918.0,41108.0,25900.0,34916.0,10733.0,7982.0,16897.0,0.0,84025.0,81502.0,0.0,17294.0
26,2851.0,204355.0,54218.0,65093.0,723.0,11357.0,8062.0,1443.0,51486.0,35652.0,3145.0,102775.0,262457.0,56198.0,42845.0,27559.0,3796.0,27143.0,0.0,0.0,14633.0,2900.0,23207.0,48229.0,183.0,0.0,0.0,20922.0,38425.0,1468.0,122987.0,57251.0,73515.0,52237.0,28122.0,50334.0,21716.0,10619.0,26091.0,12115.0,119233.0,91330.0,0.0,23372.0
27,2272.0,207791.0,68884.0,53039.0,494.0,9805.0,7137.0,3884.0,54278.0,42562.0,2993.0,106705.0,229356.0,72233.0,38001.0,22962.0,2613.0,31123.0,0.0,0.0,14283.0,2776.0,19933.0,46980.0,1228.0,0.0,0.0,17738.0,45133.0,1265.0,115956.0,54344.0,66273.0,55338.0,26825.0,45906.0,30536.0,10173.0,34788.0,17731.0,124327.0,95613.0,0.0,22652.0
28,3280.0,193743.0,56834.0,46897.0,747.0,8757.0,6405.0,3721.0,46363.0,42117.0,2923.0,94028.0,215222.0,65005.0,33353.0,36907.0,2005.0,23835.0,0.0,0.0,13581.0,2619.0,17141.0,47450.0,1217.0,0.0,0.0,15531.0,41388.0,1398.0,111666.0,55224.0,72191.0,53900.0,22242.0,42304.0,23623.0,8476.0,30532.0,16642.0,124729.0,86590.0,0.0,24039.0
